Title,Old Slug (ReadMe),New Slug (apidocs-aligned),Changed?
User Advanced Search,user_advanced_search,user-advanced-search,Yes
Get User Hierarchy,get_user_hierarchy,get-user-hierarchy,Yes
Get User Attributes,get_user_attributes,retrieve-user-attributes,Yes
Get User Permissions,get_user_permissions,get-user-permissions-from-permission-templates,Yes
Get a User's Work Day Details,get_a_user_s_work_day_details,get-work-day-details,Yes
Get Check in Status of a User,get_check_in_status_of_a_user,get-check-in-status-of-a-user,Yes
Get Check in History of Users,get_check_in_history_of_users,get-check-in-history-of-users,Yes
Get Permission Templates,get_permission_templates,retrieve-permission-template,Yes
Update a User,update_a_user,update-a-user,Yes
Update User Teams in Bulk,update_user_teams_in_bulk,update-users-in-bulk,Yes
Update User's Managers in Bulk,update_user_s_managers_in_bulk,update-users-managers-in-bulk,Yes
Activate a User,activate_a_user,activate-a-user,Yes
Deactivate a User,deactivate_a_user,deactivate-a-user,Yes
Mark a User Obsolete,mark_a_user_obsolete,mark-a-user-obsolete,Yes
Check in User,check_in_user,check-in-user,Yes
Check Out User,check_out_user,check-out-user,Yes
Notify Users,notify_users,notify-users,Yes
Leadsquared Converse System Notification to Users,leadsquared_converse_system_notification_to_users,leadsquared-converse-system-notification-to-users,Yes
Update a Permission Template,update_a_permission_template,update-permission-template,Yes
Apply a Permission Templates,apply_a_permission_templates,apply-permission-templates,Yes
Remove a Permission Template,remove_a_permission_template,remove-permission-template,Yes
Overwrite a Permission Template,overwrite_a_permission_template,overwrite-a-permission-template,Yes
Delete a Permission Template,delete_a_permission_template,delete-permission-template,Yes
Webhooks,,,
Create a Webhook,create_a_webhook,create-a-webhook,Yes
Retrieve a Webhook,retrieve_a_webhook,retrieve-a-webhook,Yes
Update a Webhook,update_a_webhook,update-a-webhook,Yes
Delete a Webhook,delete_a_webhook,delete-a-webhook,Yes
Webhook Best Practices,webhook-best-practices,webhook-best-practices,No
LSQ Portals,,,
LSQ Portals,lsq-portals,portal-api,Yes
Get Portal Registration Token,get_portal_registration_token,get-portal-registration-token,Yes
Get Public Auth Key,get_public_auth_key,get-public-auth-key,Yes
Register,register,register,No
Sign In with Password,sign_in_with_password,sign-in,Yes
Get Sign In OTP,get_sign_in_otp,get-sign-in-otp,Yes
Sign In with OTP,sign_in_with_otp,sign-in-with-otp,Yes
Forgot Password,forgot_password,forgot-password,Yes
Reset Password,reset_password,reset-password,Yes
Change Password,change_password,change-password,Yes
Sign Out,sign_out,portals-sign-out,Yes
Portal Auto Login - Generate Tenant Auth Key,portal_auto_login_generate_tenant_auth_key,portal-auto-login-generate-tenant-auth-key,Yes
Portal Auto Login - Generate Lead Level Auth Key,portal_auto_login_generate_lead_level_auth_key,portal-auto-login-generate-lead-level-auth-key,Yes
Retrieve Widgets,retrieve_widgets,retrieve-widget,Yes
Retrieve Widget Snippet,retrieve_widget_snippet,retrieve-widget-snippet,Yes
LSQ Async APIs,,,
Async APIs,async-api-readme,async-api,Yes
Capture Leads Async,capture_leads_async,capture-leads-async,Yes
Capture Leads Status API,capture_leads_status_api,lead-capture-status-api,Yes
Get Capture Leads Metrics,get_capture_leads_metrics,get-capture-leads-metrics,Yes
Update a Lead Async,update_a_lead_async,update-a-lead-async,Yes
Update a Lead Status API,update_a_lead_status_api,update-a-lead-status-api,Yes
Get Update Lead Metrics,get_update_lead_metrics,get-update-lead-metrics,Yes
Post an Activity on a Lead Async,post_an_activity_on_a_lead_async,post-an-activity-on-a-lead-async,Yes
Post an Activity on a Lead Status API,post_an_activity_on_a_lead_status_api,post-an-activity-on-a-lead-status-api,Yes
Get Post Activity on Lead Metrics,get_post_activity_on_lead_metrics,get-post-activity-on-lead-metrics,Yes
Create a Lead and Activity Async,create_a_lead_and_activity_async,create-a-lead-and-activity-async,Yes
Create Lead and Activity Status API,create_lead_and_activity_status_api,create-lead-and-activity-status-api,Yes
Get Create Lead and Activity Metrics,get_create_lead_and_activity_metrics,get-create-lead-and-activity-metrics,Yes
Capture Opportunities Async,capture_opportunities_async,capture-opportunities-async,Yes
Capture Opportunities Status API,capture_opportunities_status_api,capture-opportunities-status-api,Yes
Get Capture Opportunities Metrics,get_capture_opportunities_metrics,get-capture-opportunities-metrics,Yes
Update an Opportunity Async,update_an_opportunity_async,update-an-opportunity-async,Yes
Update an Opportunity Status API,update_an_opportunity_status_api,update-an-opportunity-status-api,Yes
Get Update Opportunity Metrics,get_update_opportunity_metrics,get-update-opportunity-metrics,Yes
Post a Call Log Async,post_a_call_log_async,post-a-call-log-async,Yes
Post a Call Log Status API,post_a_call_log_status_api,post-a-call-log-status-api,Yes
Get Post Call Log Metrics,get_post_call_log_metrics,get-post-call-log-metrics,Yes
Service CRM,,,
Service CRM,service-crm-readme,service-crm,Yes
Create Tickets,create_tickets,create-tickets,Yes
Create Tickets with Attachments,create_tickets_with_attachments,create-ticket-with-attachments,Yes
Get a Ticket's Details by ID,get_a_ticket_s_details_by_id,get-a-tickets-details-by-id,Yes
Tickets Advanced Search,tickets_advance_search,tickets-advance-search,Yes
Update a Ticket with Attachments,update_a_ticket_with_attachments,update-a-ticket-with-attachments,Yes
